Hummer H2                                                   , SUV            , AWD            , 49995, 45815, 6 , 6400 , 81    
GMC Yukon XL 2500 SLT                                       , SUV            , AWD            , 46265, 40534, 6 , 6133 , 79    
Lincoln Navigator Luxury                                    , SUV            , AWD            , 52775, 46360, 5.4, 5969 , 80    
Lexus LX 470                                                , SUV            , AWD            , 64800, 56455, 4.7, 5590 , 76    
Mercedes-Benz G500                                          , SUV            , AWD            , 76870, 71540, 5 , 5423 , 71    
Toyota Land Cruiser                                         , SUV            , AWD            , 54765, 47986, 4.7, 5390 , 76    
Land Rover Range Rover HSE                                  , SUV            , AWD            , 72250, 65807, 4.4, 5379 , 76    
Cadillac Escaladet                                          , SUV            , None           , 52795, 48377, 5.3, 5367 , 79    
Toyota Sequoia SR5                                          , SUV            , AWD            , 35695, 31827, 4.7, 5270 , 78    
Volkswagen Touareg V6                                       , SUV            , AWD            , 35515, 32243, 3.2, 5086 , 76    
Chevrolet Tahoe LT                                          , SUV            , AWD            , 41465, 36287, 5.3, 5050 , 79    
CMC Yukon 1500 SLE                                          , SUV            , None           , 35725, 31361, 4.8, 5042 , 79    
Nissan Pathfinder Armada SE                                 , SUV            , None           , 33840, 30815, 5.6, 5013 , 79    
Ford Expedition 4.6 XLT                                     , SUV            , None           , 34560, 30468, 4.6, 5000 , 79    
Dodge Durango SLT                                           , SUV            , AWD            , 32235, 29472, 4.7, 4987 , 76    
Isuzu Ascender S                                            , SUV            , AWD            , 31849, 29977, 4.2, 4967 , 76    
Porsche Cayenne S                                           , SUV            , AWD            , 56665, 49865, 4.5, 4950 , 76    
Chevrolet Suburban 1500 LT                                  , SUV            , None           , 42735, 37422, 5.3, 4947 , 79    
Mercedes-Benz ML500                                         , SUV            , AWD            , 46470, 43268, 5 , 4874 , 72    
Lincoln Aviator Ultimate                                    , SUV            , None           , 42915, 39443, 4.6, 4834 , 76    
BMW X5 4.4i                                                 , SUV            , AWD            , 52195, 47720, 4.4, 4824 , 74    
Lexus GX 470                                                , SUV            , AWD            , 45700, 39838, 4.7, 4740 , 74    
Mitsubishi Montero XLS                                      , SUV            , AWD            , 33112, 30763, 3.8, 4718 , 75    
Volvo XC90 T6                                               , SUV            , AWD            , 41250, 38851, 2.9, 4638 , 75    
Buick Rainier                                               , SUV            , AWD            , 37895, 34357, 4.2, 4600 , 75    
Land Rover Discovery SE                                     , SUV            , AWD            , 39250, 35777, 4.6, 4576 , 74    
Ford Explorer XLT V6                                        , SUV            , AWD            , 29670, 26983, 4 , 4463 , 72    
Acura MDX                                                   , SUV            , AWD            , 36945, 33337, 3.5, 4451 , 77    
Chevrolet TrailBlazer LT                                    , SUV            , None           , 30295, 27479, 4.2, 4425 , 75    
Honda Pilot LX                                              , SUV            , AWD            , 27560, 24843, 3.5, 4387 , 77    
Mercury Mountaineer                                         , SUV            , None           , 29995, 27317, 4 , 4374 , 72    
Cadillac SRX V8                                             , SUV            , None           , 46995, 43523, 4.6, 4302 , 73    
Mitsubishi Endeavor XLS                                     , SUV            , AWD            , 30492, 28330, 3.8, 4134 , 74    
Kia Sorento LX                                              , SUV            , None           , 19635, 18630, 3.5, 4112 , 73    
Lexus RX 330                                                , SUV            , AWD            , 39195, 34576, 3.3, 4065 , 73    
Toyota 4Runner SR5 V6                                       , SUV            , None           , 27710, 24801, 4 , 4035 , 74    
Buick Rendezvous CX                                         , SUV            , None           , 26545, 24085, 3.4, 4024 , 74    
BMW X3 3.0i                                                 , SUV            , AWD            , 37000, 33873, 3 , 4023 , 73    
Toyota Highlander V6                                        , SUV            , AWD            , 27930, 24915, 3.3, 3935 , 72    
Nissan Pathfinder SE                                        , SUV            , None           , 27339, 25972, 3.5, 3871 , 72    
Isuzu Rodeo S                                               , SUV            , None           , 20449, 19261, 3.2, 3836 , 70    
Jeep Liberty Sport                                          , SUV            , AWD            , 20130, 18973, 2.4, 3826 , 72    
Jeep Grand Cherokee Laredo                                  , SUV            , None           , 27905, 25686, 4 , 3790 , 72    
Pontiac Aztekt                                              , SUV            , None           , 21595, 19810, 3.4, 3779 , 74    
Nissan Xterra XE V6                                         , SUV            , None           , 20939, 19512, 3.3, 3760 , 70    
Suzuki XL-7 EX                                              , SUV            , None           , 23699, 22307, 2.7, 3682 , 70    
Land Rover Freelander SE                                    , SUV            , AWD            , 25995, 23969, 2.5, 3577 , 71    
Jeep Wrangler Sahara convertible 2dr                        , SUV            , AWD            , 25520, 23275, 4 , 3575 , 67    
Hyundai Santa Fe GLS                                        , SUV            , None           , 21589, 20201, 2.7, 3549 , 73    
Honda Element LX                                            , SUV            , AWD            , 18690, 17334, 2.4, 3468 , 72    
Saturn VUE                                                  , SUV            , AWD            , 20585, 19238, 2.2, 3381 , 72    
Ford Escape XLS                                             , SUV            , AWD            , 22515, 20907, 3 , 3346 , 70    
Honda CR-V LX                                               , SUV            , AWD            , 19860, 18419, 2.4, 3258 , 70    
Mitsubishi Outlander LS                                     , SUV            , None           , 18892, 17569, 2.4, 3240 , 69    
Toyota RAV4                                                 , SUV            , AWD            , 20290, 18553, 2.4, 3119 , 68    
Mazda Tribute DX 2.0                                        , SUV            , AWD            , 21087, 19742, 2 , 3091 , 72    
Suzuki Vitara LX                                            , SUV            , AWD            , 17163, 16949, 2.5, 3020 , 67    
Chevrolet Tracker                                           , SUV            , None           , 20255, 19108, 2.5, 2866 , 67    
